1A,36B,F,Physics,,Physics H7A,Math H1B,Physics 98BC,,
6?,12B,F,Civil Engineering,Environmental Engineering,Math 1B,Chem 1A,CivEng 70,AfrAmStd 27AC,CivEng 92
6?,12B,F,ORMS,Music,Korean 10A,Math 53,UGBA 10,Music 20A,
6?,13A,M,Bioengineering,Materials Science,Physics 7A,Eng 45,,,
6?,14B,M,Nuclear Engineering,EECS,CompSci 61A,Physics 7B,Math 53,ColWrit R4B,NuclEng 24
6?,20C,M,Statistics,,Stats 134,Stats 133,IndustEng 198,Anthro 121AC,Math 53
6?,22B,F,Computer Science,"Cognitive Science, Psychology",,,,,
6?,22F,M,Biology,Chemistry,Chem 3B,Biology 1B,Chinese 10A,AsAmStd R2B,
6?,32BF,M,EECS,,CompSci 61A,Math 54,ElecEng 16A,,
6?,32D,F,Social Welfare,,Philosophy 23A,Astronomy C10,PolSci 5,Journalism 98,PACS 94
6?,40A,M,Materials Science,Chemistry,Eng 7,Eng 115,Mat Sci 102,MechEng C85,
6?,42C,M,Environmental Econonmics,ORMS,Math 53,Math 54,UGBA 10,Japan 10A,
6?,44C,F,Cognitive Science,,CompSci 61A,Math 1B,CogSci 1,MCB C62,Sociology 150
6?,D,F,Computer Science,,CompSci 10,Math 1A,Classics 10A,,
6?,,F,Political Science,Economics,,,,,
6A,12B,F,Astrophysics,Spanish,Math 1B,Physics 7A,Spanish 25,Astronomy C10,
6A,20A,M,Business,,ColWrit R1A,Anthro 3AC,MCB 62,,
6A,20D,M,Computer Science,,CompSci 61A,Math 54,NEStd 18,Music 27,
6A,30A,F,Nuclear Engineering,History,ElecEng 40,Math 54,Physics 7C,,
6A,30A,F,Media Studies,,MediaStd 10,Psych 1,History 131B,Anthro 155,
6A,30B,F,Engineering Physics,,Math 1B,Chem 1A,Chem 1A,CompLit R1B,Eng 92
6A,30B,F,Psychology,,Math 10A,Psych 1,Music 27,NatAmStd 71,
6A,30C,F,EECS,Bioengineering,CompSci 61A,Math 54,Chem 1A,Spanish R1A,
6A,30C,F,PACS,,PACS 10,Theater 40,French 1,Sociology 3AC,
6A,40C,M,EECS,,CompSci 61A,ElecEng 16A,English R1B,,
6A,40D,M,Computer Science,"Business, Economics",CompSci 61A,Math 53,Astronomy C10,,
6B,44,F,Political Science,,PolSci 5,Math 16A,Spanish 3,Slavic 39C,
6B,22A,F,Environmental Science,,ESPM 50AC,Math 16A,EPS C82,Chem P,Philosophy 98BC
6B,22C,M,Economics,Political Science,Math 16A,PolSci 1,History 7A,MCB C62,
6B,22E,M,Computer Science,Math,History 30,CompSci 61A,CompSci 70,,
6B,22E,M,Nuclear Engineering,,Math 53,Physics 7B,ColWrit R4A,NuclEng 24,
6B,22F,M,Civil Engineering,,Eng 7,CivEng 60,CivEng 30,CivEng 70,
6B,22G,F,MCB,"Cognitive Science, Music",Chem 1A,Math 10A,MCB 55,L&S 39F,SSEAStd R5A
6B,22H,M,Computer Science,,CompSci 61A,Math 1A,NatAmStd 158,,
6B,22H,M,Materials Science,,CompSci 61A,Math 1A,Physics 7A,History R1B,
